Continente,Pais,Hom2009,Muj2009,Hom2010,Muj2010,Hom2011,Muj2011,Hom2012,Muj2012,Hom2013,Muj2013,Hom2014,Muj2014,Hom2015,Muj2015
EUROPA,ALBANIA,12,15,17,19,18,21,14,18,19,20,21,19,14,19
EUROPA,ALEMANIA,51729,51334,53036,52880,54229,54240,55812,55919,57978,58078,61032,61186,65144,65135
EUROPA,ANDORRA,11491,11640,11555,11741,11665,11940,11852,12143,11838,12176,12020,12298,12113,12372
EUROPA,ARMENIA,.,.,.,.,1,.,3,.,3,.,2,.,2,.
EUROPA,AUSTRIA,968,1201,1048,1288,1195,1419,1365,1598,1573,1826,1850,2072,2108,2283
EUROPA,BELARÚS,4,5,4,5,5,5,5,3,5,3,6,4,6,3
EUROPA,BÉLGICA,20449,19681,22088,21309,23179,22306,24264,23354,25678,24640,27296,25916,28812,27311
EUROPA,BOSNIA Y HERZEGOVINA,57,45,68,36,64,33,64,30,47,31,47,28,41,19
EUROPA,BULGARIA,114,80,134,93,143,83,144,71,144,73,130,72,132,79
EUROPA,CHIPRE,75,87,77,96,87,95,93,97,104,104,103,110,99,111
EUROPA,CROACIA,67,67,76,71,78,79,76,82,85,91,82,94,78,89
EUROPA,DINAMARCA,992,915,1169,1078,1235,1118,1299,1193,1349,1238,1493,1350,1633,1503
EUROPA,ESLOVENIA,40,31,34,32,40,38,49,43,57,44,71,54,86,60
EUROPA,ESTONIA,33,18,34,21,31,22,43,22,49,21,59,20,77,37
EUROPA,FINLANDIA,633,453,671,500,702,516,755,552,804,573,900,680,1036,771
EUROPA,FRANCIA,89174,90504,90896,92381,93974,95935,97958,100224,101982,104607,106280,108903,110646,112990
EUROPA,GEORGIA,1,9,5,8,6,9,8,11,9,11,9,11,11,11
EUROPA,GRECIA,597,784,626,815,639,805,664,805,661,784,673,798,667,822
EUROPA,HUNGRÍA,200,151,203,156,217,154,229,154,239,164,262,175,302,197
EUROPA,IRLANDA,1858,2505,1927,2630,2027,2729,2172,2848,2304,3021,2535,3298,2901,3654
EUROPA,ISLANDIA,35,36,56,45,65,50,62,54,83,61,86,62,102,74
EUROPA,ITALIA,4928,10210,5947,11474,6228,11888,6593,12352,6894,12813,7449,13449,7730,13888
EUROPA,LETONIA,27,20,29,17,26,18,32,22,33,26,39,30,48,35
EUROPA,LIECHTENSTEIN,201,176,196,164,190,161,188,163,189,171,192,171,193,171
EUROPA,LITUANIA,48,25,48,25,73,34,73,35,73,39,74,44,92,53
EUROPA,LUXEMBURGO,1694,1878,1742,1915,1776,1952,1872,2043,2002,2159,2150,2294,2270,2418
EUROPA,MACEDONIA,7,1,8,6,10,7,17,17,22,14,15,10,12,11
EUROPA,MALTA,17,25,15,24,18,26,26,34,50,55,88,79,123,126
EUROPA,MOLDAVIA,9,1,10,2,11,2,10,1,10,1,12,4,11,4
EUROPA,MÓNACO,101,107,113,116,112,112,107,112,106,113,113,109,115,115
EUROPA,MONTENEGRO,2,1,2,2,2,3,3,3,4,3,9,.,9,.
EUROPA,NORUEGA,1129,891,1240,1014,1318,1097,1460,1191,1635,1347,1885,1546,2172,1799
EUROPA,PAÍSES BAJOS,9152,8853,9457,9267,9735,9615,10085,10043,10466,10460,10992,10982,11506,11589
EUROPA,POLONIA,356,242,377,260,416,271,497,304,579,343,697,411,821,462
EUROPA,PORTUGAL,4189,4947,4141,4834,4444,5126,4643,5370,4905,5730,5017,5830,5209,6015
EUROPA,REINO UNIDO,26095,31675,27385,32983,29317,35000,31607,37490,34209,40180,37648,43871,42384,48932
EUROPA,REPÚBLICA CHECA,221,190,251,217,310,245,367,286,442,325,526,381,591,416
EUROPA,REPÚBLICA ESLOVACA,66,32,78,31,84,40,87,43,96,53,116,65,138,75
EUROPA,RUMANÍA,221,118,250,145,251,148,246,130,268,142,292,158,312,168
